SOC_0_14 = 68, SOC_(14, 21) = 68.0
SOC_0_15 = 54, SOC_(15, 18) = 54.0
SOC_0_16 = 70, SOC_(16, 22) = 70.0
SOC_0_17 = 54, SOC_(17, 18) = 54.0
SOC_0_18 = 39, SOC_(18, 8) = 39.0
SOC_0_19 = 69, SOC_(19, 17) = 69.0
SOC_0_20 = 20, SOC_(20, 12) = 20.0
SOC_0_21 = 69, SOC_(21, 18) = 69.0
SOC_0_22 = 34, SOC_(22, 20) = 34.0
SOC_0_23 = 70, SOC_(23, 22) = 70.0
SOC_0_24 = 33, SOC_(24, 5) = 33.0
SOC_0_25 = 31, SOC_(25, 5) = 31.0
SOC_0_26 = 41, SOC_(26, 11) = 41.0
SOC_0_27 = 48, SOC_(27, 20) = 48.0
SOC_0_28 = 43, SOC_(28, 21) = 43.0
SOC_0_29 = 37, SOC_(29, 18) = 37.0
SOC_0_30 = 51, SOC_(30, 20) = 51.0
SOC_0_31 = 23, SOC_(31, 18) = 23.0
SOC_0_32 = 61, SOC_(32, 19) = 61.0
SOC_0_33 = 51, SOC_(33, 16) = 51.0
SOC_0_34 = 33, SOC_(34, 21) = 33.0
SOC_0_35 = 55, SOC_(35, 8) = 55.0
SOC_0_36 = 68, SOC_(36, 21) = 68.0
SOC_0_37 = 62, SOC_(37, 10) = 62.0
SOC_0_38 = 52, SOC_(38, 22) = 52.0
SOC_0_39 = 29, SOC_(39, 18) = 29.0
SOC_0_40 = 36, SOC_(40, 15) = 36.0
SOC_0_41 = 39, SOC_(41, 17) = 39.0
SOC_0_42 = 22, SOC_(42, 21) = 22.0
SOC_0_43 = 38, SOC_(43, 16) = 38.0
SOC_0_44 = 23, SOC_(44, 21) = 23.0
SOC_0_45 = 61, SOC_(45, 16) = 61.0
SOC_0_46 = 45, SOC_(46, 14) = 45.0
SOC_0_47 = 20, SOC_(47, 22) = 20.0
SOC_0_48 = 44, SOC_(48, 18) = 44.0
SOC_0_49 = 55, SOC_(49, 17) = 55.0
SOC_0_0 = 28, SOC_(0, 20) = 28.0
SOC_0_1 = 33, SOC_(1, 22) = 33.0
SOC_0_2 = 67, SOC_(2, 15) = 67.0
SOC_0_3 = 53, SOC_(3, 20) = 53.0
SOC_0_4 = 43, SOC_(4, 9) = 43.0
SOC_0_5 = 47, SOC_(5, 6) = 47.0
SOC_0_6 = 31, SOC_(6, 22) = 31.0
SOC_0_7 = 28, SOC_(7, 21) = 28.0
SOC_0_8 = 60, SOC_(8, 20) = 60.0
SOC_0_9 = 45, SOC_(9, 17) = 45.0
SOC_0_10 = 35, SOC_(10, 14) = 35.0
SOC_0_11 = 27, SOC_(11, 20) = 27.0
SOC_0_12 = 54, SOC_(12, 22) = 54.0
SOC_0_13 = 70, SOC_(13, 18) = 70.0
SOC_0_14 = 68, SOC_(14, 21) = 68.0
SOC_0_15 = 54, SOC_(15, 18) = 54.0
SOC_0_16 = 70, SOC_(16, 22) = 70.0
SOC_0_17 = 54, SOC_(17, 18) = 54.0
SOC_0_18 = 39, SOC_(18, 8) = 39.0
SOC_0_19 = 69, SOC_(19, 17) = 69.0
SOC_0_20 = 20, SOC_(20, 12) = 20.0
SOC_0_21 = 69, SOC_(21, 18) = 69.0
SOC_0_22 = 34, SOC_(22, 20) = 34.0
SOC_0_23 = 70, SOC_(23, 22) = 70.0
SOC_0_24 = 33, SOC_(24, 5) = 33.0
SOC_0_25 = 31, SOC_(25, 5) = 31.0
SOC_0_26 = 41, SOC_(26, 11) = 41.0
SOC_0_27 = 48, SOC_(27, 20) = 48.0
SOC_0_28 = 43, SOC_(28, 21) = 43.0
SOC_0_29 = 37, SOC_(29, 18) = 37.0
SOC_0_30 = 51, SOC_(30, 20) = 51.0
SOC_0_31 = 23, SOC_(31, 18) = 23.0
SOC_0_32 = 61, SOC_(32, 19) = 61.0
SOC_0_33 = 51, SOC_(33, 16) = 51.0
SOC_0_34 = 33, SOC_(34, 21) = 33.0
SOC_0_35 = 55, SOC_(35, 8) = 55.0
SOC_0_36 = 68, SOC_(36, 21) = 68.0
SOC_0_37 = 62, SOC_(37, 10) = 62.0
SOC_0_38 = 52, SOC_(38, 22) = 52.0
SOC_0_39 = 29, SOC_(39, 18) = 29.0
SOC_0_40 = 36, SOC_(40, 15) = 36.0
SOC_0_41 = 39, SOC_(41, 17) = 39.0
SOC_0_42 = 22, SOC_(42, 21) = 22.0
SOC_0_43 = 38, SOC_(43, 16) = 38.0
SOC_0_44 = 23, SOC_(44, 21) = 23.0
SOC_0_45 = 61, SOC_(45, 16) = 61.0
SOC_0_46 = 45, SOC_(46, 14) = 45.0
SOC_0_47 = 20, SOC_(47, 22) = 20.0
SOC_0_48 = 44, SOC_(48, 18) = 44.0
SOC_0_49 = 55, SOC_(49, 17) = 55.0
SOC_0_0 = 28, SOC_(0, 20) = 28.0
SOC_0_1 = 33, SOC_(1, 22) = 33.0
SOC_0_2 = 67, SOC_(2, 15) = 67.0
SOC_0_3 = 53, SOC_(3, 20) = 53.0
SOC_0_4 = 43, SOC_(4, 9) = 43.0
SOC_0_5 = 47, SOC_(5, 6) = 47.0
SOC_0_6 = 31, SOC_(6, 22) = 31.0
SOC_0_7 = 28, SOC_(7, 21) = 28.0
SOC_0_8 = 60, SOC_(8, 20) = 60.0
SOC_0_9 = 45, SOC_(9, 17) = 45.0
SOC_0_10 = 35, SOC_(10, 14) = 35.0
SOC_0_11 = 27, SOC_(11, 20) = 27.0
SOC_0_12 = 54, SOC_(12, 22) = 54.0
SOC_0_13 = 70, SOC_(13, 18) = 70.0
SOC_0_14 = 68, SOC_(14, 21) = 68.0
SOC_0_15 = 54, SOC_(15, 18) = 54.0
SOC_0_16 = 70, SOC_(16, 22) = 70.0
SOC_0_17 = 54, SOC_(17, 18) = 54.0
SOC_0_18 = 39, SOC_(18, 8) = 39.0
SOC_0_19 = 69, SOC_(19, 17) = 69.0
SOC_0_20 = 20, SOC_(20, 12) = 20.0
SOC_0_21 = 69, SOC_(21, 18) = 69.0
SOC_0_22 = 34, SOC_(22, 20) = 34.0
SOC_0_23 = 70, SOC_(23, 22) = 70.0
SOC_0_24 = 33, SOC_(24, 5) = 33.0
SOC_0_25 = 31, SOC_(25, 5) = 31.0
SOC_0_26 = 41, SOC_(26, 11) = 41.0
SOC_0_27 = 48, SOC_(27, 20) = 48.0
SOC_0_28 = 43, SOC_(28, 21) = 43.0
SOC_0_29 = 37, SOC_(29, 18) = 37.0
SOC_0_30 = 51, SOC_(30, 20) = 51.0
SOC_0_31 = 23, SOC_(31, 18) = 23.0
SOC_0_32 = 61, SOC_(32, 19) = 61.0
SOC_0_33 = 51, SOC_(33, 16) = 51.0
SOC_0_34 = 33, SOC_(34, 21) = 33.0
SOC_0_35 = 55, SOC_(35, 8) = 55.0
SOC_0_36 = 68, SOC_(36, 21) = 68.0
SOC_0_37 = 62, SOC_(37, 10) = 62.0
SOC_0_38 = 52, SOC_(38, 22) = 52.0
SOC_0_39 = 29, SOC_(39, 18) = 29.0
SOC_0_40 = 36, SOC_(40, 15) = 36.0
SOC_0_41 = 39, SOC_(41, 17) = 39.0
SOC_0_42 = 22, SOC_(42, 21) = 22.0
SOC_0_43 = 38, SOC_(43, 16) = 38.0
SOC_0_44 = 23, SOC_(44, 21) = 23.0
SOC_0_45 = 61, SOC_(45, 16) = 61.0
SOC_0_46 = 45, SOC_(46, 14) = 45.0
SOC_0_47 = 20, SOC_(47, 22) = 20.0
SOC_0_48 = 44, SOC_(48, 18) = 44.0
SOC_0_49 = 55, SOC_(49, 17) = 55.0
SOC_0_0 = 28, SOC_(0, 20) = 28.0
SOC_0_1 = 33, SOC_(1, 22) = 33.0
SOC_0_2 = 67, SOC_(2, 15) = 67.0
SOC_0_3 = 53, SOC_(3, 20) = 53.0
SOC_0_4 = 43, SOC_(4, 9) = 43.0
SOC_0_5 = 47, SOC_(5, 6) = 47.0
SOC_0_6 = 31, SOC_(6, 22) = 31.0
SOC_0_7 = 28, SOC_(7, 21) = 28.0
SOC_0_8 = 60, SOC_(8, 20) = 60.0
SOC_0_9 = 45, SOC_(9, 17) = 45.0
SOC_0_10 = 35, SOC_(10, 14) = 35.0
SOC_0_11 = 27, SOC_(11, 20) = 27.0
SOC_0_12 = 54, SOC_(12, 22) = 54.0
SOC_0_13 = 70, SOC_(13, 18) = 70.0
SOC_0_14 = 68, SOC_(14, 21) = 68.0
SOC_0_15 = 54, SOC_(15, 18) = 54.0
SOC_0_16 = 70, SOC_(16, 22) = 70.0
SOC_0_17 = 54, SOC_(17, 18) = 54.0
SOC_0_18 = 39, SOC_(18, 8) = 39.0
SOC_0_19 = 69, SOC_(19, 17) = 69.0
SOC_0_20 = 20, SOC_(20, 12) = 20.0
SOC_0_21 = 69, SOC_(21, 18) = 69.0
SOC_0_22 = 34, SOC_(22, 20) = 34.0
SOC_0_23 = 70, SOC_(23, 22) = 70.0
SOC_0_24 = 33, SOC_(24, 5) = 33.0
SOC_0_25 = 31, SOC_(25, 5) = 31.0
SOC_0_26 = 41, SOC_(26, 11) = 41.0
SOC_0_27 = 48, SOC_(27, 20) = 48.0
SOC_0_28 = 43, SOC_(28, 21) = 43.0
SOC_0_29 = 37, SOC_(29, 18) = 37.0
SOC_0_30 = 51, SOC_(30, 20) = 51.0
SOC_0_31 = 23, SOC_(31, 18) = 23.0
SOC_0_32 = 61, SOC_(32, 19) = 61.0
SOC_0_33 = 51, SOC_(33, 16) = 51.0
SOC_0_34 = 33, SOC_(34, 21) = 33.0
SOC_0_35 = 55, SOC_(35, 8) = 55.0
SOC_0_36 = 68, SOC_(36, 21) = 68.0
SOC_0_37 = 62, SOC_(37, 10) = 62.0
SOC_0_38 = 52, SOC_(38, 22) = 52.0
SOC_0_39 = 29, SOC_(39, 18) = 29.0
SOC_0_40 = 36, SOC_(40, 15) = 36.0
SOC_0_41 = 39, SOC_(41, 17) = 39.0
SOC_0_42 = 22, SOC_(42, 21) = 22.0
SOC_0_43 = 38, SOC_(43, 16) = 38.0
SOC_0_44 = 23, SOC_(44, 21) = 23.0
SOC_0_45 = 61, SOC_(45, 16) = 61.0
SOC_0_46 = 45, SOC_(46, 14) = 45.0
SOC_0_47 = 20, SOC_(47, 22) = 20.0
SOC_0_48 = 44, SOC_(48, 18) = 44.0
SOC_0_49 = 55, SOC_(49, 17) = 55.0
SOC_0_0 = 28, SOC_(0, 20) = 28.0
SOC_0_1 = 33, SOC_(1, 22) = 33.0
SOC_0_2 = 67, SOC_(2, 15) = 67.0
SOC_0_3 = 53, SOC_(3, 20) = 53.0
SOC_0_4 = 43, SOC_(4, 9) = 43.0
SOC_0_5 = 47, SOC_(5, 6) = 47.0
SOC_0_6 = 31, SOC_(6, 22) = 31.0
SOC_0_7 = 28, SOC_(7, 21) = 28.0
SOC_0_8 = 60, SOC_(8, 20) = 60.0
SOC_0_9 = 45, SOC_(9, 17) = 45.0
SOC_0_10 = 35, SOC_(10, 14) = 35.0
SOC_0_11 = 27, SOC_(11, 20) = 27.0
SOC_0_12 = 54, SOC_(12, 22) = 54.0
SOC_0_13 = 70, SOC_(13, 18) = 70.0
SOC_0_14 = 68, SOC_(14, 21) = 68.0
SOC_0_15 = 54, SOC_(15, 18) = 54.0
SOC_0_16 = 70, SOC_(16, 22) = 70.0
SOC_0_17 = 54, SOC_(17, 18) = 54.0
SOC_0_18 = 39, SOC_(18, 8) = 39.0
SOC_0_19 = 69, SOC_(19, 17) = 69.0
SOC_0_20 = 20, SOC_(20, 12) = 20.0
SOC_0_21 = 69, SOC_(21, 18) = 69.0
SOC_0_22 = 34, SOC_(22, 20) = 34.0
SOC_0_23 = 70, SOC_(23, 22) = 70.0
SOC_0_24 = 33, SOC_(24, 5) = 33.0
SOC_0_25 = 31, SOC_(25, 5) = 31.0
SOC_0_26 = 41, SOC_(26, 11) = 41.0
SOC_0_27 = 48, SOC_(27, 20) = 48.0
SOC_0_28 = 43, SOC_(28, 21) = 43.0
SOC_0_29 = 37, SOC_(29, 18) = 37.0
SOC_0_30 = 51, SOC_(30, 20) = 51.0
SOC_0_31 = 23, SOC_(31, 18) = 23.0
SOC_0_32 = 61, SOC_(32, 19) = 61.0
SOC_0_33 = 51, SOC_(33, 16) = 51.0
SOC_0_34 = 33, SOC_(34, 21) = 33.0
SOC_0_35 = 55, SOC_(35, 8) = 55.0
SOC_0_36 = 68, SOC_(36, 21) = 68.0
SOC_0_37 = 62, SOC_(37, 10) = 62.0
SOC_0_38 = 52, SOC_(38, 22) = 52.0
SOC_0_39 = 29, SOC_(39, 18) = 29.0
SOC_0_40 = 36, SOC_(40, 15) = 36.0
SOC_0_41 = 39, SOC_(41, 17) = 39.0
SOC_0_42 = 22, SOC_(42, 21) = 22.0
SOC_0_43 = 38, SOC_(43, 16) = 38.0
SOC_0_44 = 23, SOC_(44, 21) = 23.0
SOC_0_45 = 61, SOC_(45, 16) = 61.0
SOC_0_46 = 45, SOC_(46, 14) = 45.0
SOC_0_47 = 20, SOC_(47, 22) = 20.0
SOC_0_48 = 44, SOC_(48, 18) = 44.0
SOC_0_49 = 55, SOC_(49, 17) = 55.0
SOC_0_0 = 28, SOC_(0, 20) = 28.0
SOC_0_1 = 33, SOC_(1, 22) = 33.0
SOC_0_2 = 67, SOC_(2, 15) = 67.0
SOC_0_3 = 53, SOC_(3, 20) = 53.0
SOC_0_4 = 43, SOC_(4, 9) = 43.0
SOC_0_5 = 47, SOC_(5, 6) = 47.0
SOC_0_6 = 31, SOC_(6, 22) = 31.0
SOC_0_7 = 28, SOC_(7, 21) = 28.0
SOC_0_8 = 60, SOC_(8, 20) = 60.0
SOC_0_9 = 45, SOC_(9, 17) = 45.0
SOC_0_10 = 35, SOC_(10, 14) = 35.0
SOC_0_11 = 27, SOC_(11, 20) = 27.0
SOC_0_12 = 54, SOC_(12, 22) = 54.0
SOC_0_13 = 70, SOC_(13, 18) = 70.0
SOC_0_14 = 68, SOC_(14, 21) = 68.0
SOC_0_15 = 54, SOC_(15, 18) = 54.0
SOC_0_16 = 70, SOC_(16, 22) = 70.0
SOC_0_17 = 54, SOC_(17, 18) = 54.0
SOC_0_18 = 39, SOC_(18, 8) = 39.0
SOC_0_19 = 69, SOC_(19, 17) = 69.0
SOC_0_20 = 20, SOC_(20, 12) = 20.0
SOC_0_21 = 69, SOC_(21, 18) = 69.0
SOC_0_22 = 34, SOC_(22, 20) = 34.0
SOC_0_23 = 70, SOC_(23, 22) = 70.0
SOC_0_24 = 33, SOC_(24, 5) = 33.0
SOC_0_25 = 31, SOC_(25, 5) = 31.0
SOC_0_26 = 41, SOC_(26, 11) = 41.0
SOC_0_27 = 48, SOC_(27, 20) = 48.0
SOC_0_28 = 43, SOC_(28, 21) = 43.0
SOC_0_29 = 37, SOC_(29, 18) = 37.0
SOC_0_30 = 51, SOC_(30, 20) = 51.0
SOC_0_31 = 23, SOC_(31, 18) = 23.0
SOC_0_32 = 61, SOC_(32, 19) = 61.0
SOC_0_33 = 51, SOC_(33, 16) = 51.0
SOC_0_34 = 33, SOC_(34, 21) = 33.0
SOC_0_35 = 55, SOC_(35, 8) = 55.0
SOC_0_36 = 68, SOC_(36, 21) = 68.0
SOC_0_37 = 62, SOC_(37, 10) = 62.0
SOC_0_38 = 52, SOC_(38, 22) = 52.0
SOC_0_39 = 29, SOC_(39, 18) = 29.0
SOC_0_40 = 36, SOC_(40, 15) = 36.0
SOC_0_41 = 39, SOC_(41, 17) = 39.0
SOC_0_42 = 22, SOC_(42, 21) = 22.0
SOC_0_43 = 38, SOC_(43, 16) = 38.0
SOC_0_44 = 23, SOC_(44, 21) = 23.0
SOC_0_45 = 61, SOC_(45, 16) = 61.0
SOC_0_46 = 45, SOC_(46, 14) = 45.0
SOC_0_47 = 20, SOC_(47, 22) = 20.0
SOC_0_48 = 44, SOC_(48, 18) = 44.0
SOC_0_49 = 55, SOC_(49, 17) = 55.0
SOC_0_0 = 28, SOC_(0, 20) = 28.0
SOC_0_1 = 33, SOC_(1, 22) = 33.0
SOC_0_2 = 67, SOC_(2, 15) = 67.0
SOC_0_3 = 53, SOC_(3, 20) = 53.0
SOC_0_4 = 43, SOC_(4, 9) = 43.0
SOC_0_5 = 47, SOC_(5, 6) = 47.0
SOC_0_6 = 31, SOC_(6, 22) = 31.0
SOC_0_7 = 28, SOC_(7, 21) = 28.0
SOC_0_8 = 60, SOC_(8, 20) = 60.0
SOC_0_9 = 45, SOC_(9, 17) = 45.0
SOC_0_10 = 35, SOC_(10, 14) = 35.0
SOC_0_11 = 27, SOC_(11, 20) = 27.0
SOC_0_12 = 54, SOC_(12, 22) = 54.0
SOC_0_13 = 70, SOC_(13, 18) = 70.0
SOC_0_14 = 68, SOC_(14, 21) = 68.0
SOC_0_15 = 54, SOC_(15, 18) = 54.0
SOC_0_16 = 70, SOC_(16, 22) = 70.0
SOC_0_17 = 54, SOC_(17, 18) = 54.0
SOC_0_18 = 39, SOC_(18, 8) = 39.0
SOC_0_19 = 69, SOC_(19, 17) = 69.0
SOC_0_20 = 20, SOC_(20, 12) = 20.0
SOC_0_21 = 69, SOC_(21, 18) = 69.0
SOC_0_22 = 34, SOC_(22, 20) = 34.0
SOC_0_23 = 70, SOC_(23, 22) = 70.0
SOC_0_24 = 33, SOC_(24, 5) = 33.0
SOC_0_25 = 31, SOC_(25, 5) = 31.0
SOC_0_26 = 41, SOC_(26, 11) = 41.0
SOC_0_27 = 48, SOC_(27, 20) = 48.0
SOC_0_28 = 43, SOC_(28, 21) = 43.0
SOC_0_29 = 37, SOC_(29, 18) = 37.0
SOC_0_30 = 51, SOC_(30, 20) = 51.0
SOC_0_31 = 23, SOC_(31, 18) = 23.0
SOC_0_32 = 61, SOC_(32, 19) = 61.0
SOC_0_33 = 51, SOC_(33, 16) = 51.0
SOC_0_34 = 33, SOC_(34, 21) = 33.0
SOC_0_35 = 55, SOC_(35, 8) = 55.0
SOC_0_36 = 68, SOC_(36, 21) = 68.0
SOC_0_37 = 62, SOC_(37, 10) = 62.0
SOC_0_38 = 52, SOC_(38, 22) = 52.0
SOC_0_39 = 29, SOC_(39, 18) = 29.0
SOC_0_40 = 36, SOC_(40, 15) = 36.0
SOC_0_41 = 39, SOC_(41, 17) = 39.0
SOC_0_42 = 22, SOC_(42, 21) = 22.0
SOC_0_43 = 38, SOC_(43, 16) = 38.0
SOC_0_44 = 23, SOC_(44, 21) = 23.0
SOC_0_45 = 61, SOC_(45, 16) = 61.0
SOC_0_46 = 45, SOC_(46, 14) = 45.0
SOC_0_47 = 20, SOC_(47, 22) = 20.0
SOC_0_48 = 44, SOC_(48, 18) = 44.0
SOC_0_49 = 55, SOC_(49, 17) = 55.0
SOC_0_0 = 28, SOC_(0, 20) = 28.0
SOC_0_1 = 33, SOC_(1, 22) = 33.0
SOC_0_2 = 67, SOC_(2, 15) = 67.0
SOC_0_3 = 53, SOC_(3, 20) = 53.0
SOC_0_4 = 43, SOC_(4, 9) = 43.0
SOC_0_5 = 47, SOC_(5, 6) = 47.0
SOC_0_6 = 31, SOC_(6, 22) = 31.0
SOC_0_7 = 28, SOC_(7, 21) = 28.0
SOC_0_8 = 60, SOC_(8, 20) = 60.0
SOC_0_9 = 45, SOC_(9, 17) = 45.0
SOC_0_10 = 35, SOC_(10, 14) = 35.0
SOC_0_11 = 27, SOC_(11, 20) = 27.0
SOC_0_12 = 54, SOC_(12, 22) = 54.0
SOC_0_13 = 70, SOC_(13, 18) = 70.0
SOC_0_14 = 68, SOC_(14, 21) = 68.0
SOC_0_15 = 54, SOC_(15, 18) = 54.0
SOC_0_16 = 70, SOC_(16, 22) = 70.0
SOC_0_17 = 54, SOC_(17, 18) = 54.0
SOC_0_18 = 39, SOC_(18, 8) = 39.0
SOC_0_19 = 69, SOC_(19, 17) = 69.0
SOC_0_20 = 20, SOC_(20, 12) = 20.0
SOC_0_21 = 69, SOC_(21, 18) = 69.0
SOC_0_22 = 34, SOC_(22, 20) = 34.0
SOC_0_23 = 70, SOC_(23, 22) = 70.0
SOC_0_24 = 33, SOC_(24, 5) = 33.0
SOC_0_25 = 31, SOC_(25, 5) = 31.0
SOC_0_26 = 41, SOC_(26, 11) = 41.0
SOC_0_27 = 48, SOC_(27, 20) = 48.0
SOC_0_28 = 43, SOC_(28, 21) = 43.0
SOC_0_29 = 37, SOC_(29, 18) = 37.0
SOC_0_30 = 51, SOC_(30, 20) = 51.0
SOC_0_31 = 23, SOC_(31, 18) = 23.0
SOC_0_32 = 61, SOC_(32, 19) = 61.0
SOC_0_33 = 51, SOC_(33, 16) = 51.0
SOC_0_34 = 33, SOC_(34, 21) = 33.0
SOC_0_35 = 55, SOC_(35, 8) = 55.0
SOC_0_36 = 68, SOC_(36, 21) = 68.0
SOC_0_37 = 62, SOC_(37, 10) = 62.0
SOC_0_38 = 52, SOC_(38, 22) = 52.0
SOC_0_39 = 29, SOC_(39, 18) = 29.0
SOC_0_40 = 36, SOC_(40, 15) = 36.0
SOC_0_41 = 39, SOC_(41, 17) = 39.0
SOC_0_42 = 22, SOC_(42, 21) = 22.0
SOC_0_43 = 38, SOC_(43, 16) = 38.0
SOC_0_44 = 23, SOC_(44, 21) = 23.0
SOC_0_45 = 61, SOC_(45, 16) = 61.0
SOC_0_46 = 45, SOC_(46, 14) = 45.0
SOC_0_47 = 20, SOC_(47, 22) = 20.0
SOC_0_48 = 44, SOC_(48, 18) = 44.0
